institution,city,state,region,control,level,predominant_degree,admission_rate,sat_average,undergrad_enrollment,pct_pell_grant,pct_first_generation,median_family_income,cost_of_attendance,tuition_in_state,tuition_out_state,completion_rate,median_debt_at_graduation,median_earnings_6yr,median_earnings_10yr,earnings_p25_10yr,earnings_p75_10yr,pct_earning_over_25k_10yr,debt_to_earnings,latitude,longitude
University of Pittsburgh-Bradford,Bradford,PA,Mid East,Public,4-year,Bachelor's,0.8854,1125,995,0.4706,0.2097,81308,30478,14770,26644,0.4761,24250,54240,66125,43765,96619,0.838,0.367,41.943415,-78.673701
University of Pittsburgh-Greensburg,Greensburg,PA,Mid East,Public,4-year,Bachelor's,0.9521,1160,1305,0.3771,0.2097,81308,30141,14710,26584,0.397,24250,54240,66125,43765,96619,0.838,0.367,40.276447,-79.532676
University of Pittsburgh-Johnstown,Johnstown,PA,Mid East,Public,4-year,Bachelor's,0.9484,1105,1808,0.3237,0.2097,81308,30349,14906,26780,0.5582,24250,54240,66125,43765,96619,0.838,0.367,40.265957,-78.834163
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,Mid East,Public,4-year,Bachelor's,0.5808,1370,20370,0.1398,0.2097,81308,38105,21926,41430,0.855,24250,54240,66125,43765,96619,0.838,0.367,40.444388,-79.953254
University of Pittsburgh-Titusville,Titusville,PA,Mid East,Public,2-year,Associate,0.3478,,33,0.5357,0.2097,81308,25231,11918,22210,0.0,24250,54240,66125,43765,96619,0.838,0.367,41.628697,-79.664156
University of Portland,Portland,OR,Far West,Private nonprofit,4-year,Bachelor's,0.8917,1277,2957,0.221,0.1793,90442,73224,58100,58100,0.7984,21370,67913,82804,56963,112160,0.849,0.258,45.572724,-122.726691
University of Providence,Great Falls,MT,Rocky Mountains,Private nonprofit,4-year,Bachelor's,0.5028,980,528,0.3292,0.4,44229,43477,30448,30448,0.2794,18750,37734,48296,30699,69928,0.622,0.388,47.490713,-111.270604
University of Puerto Rico,Bayamon,PR,Outlying Areas,Public,4-year,Bachelor's,0.3533,,2851,0.8692,0.1821,19142,12501,6284,6284,0.3706,5500,22382,34409,21475,53632,,0.16,18.371398,-66.143541
University of Puerto Rico at Cayey,Cayey,PR,Outlying Areas,Public,4-year,Bachelor's,0.53,955,2069,0.7588,0.1913,17544,15909,5354,5354,0.4983,5000,21819,30958,20415,48488,,0.162,18.11882,-66.162066
University of Puerto Rico at Ponce,Ponce,PR,Outlying Areas,Public,4-year,Bachelor's,0.5245,,2278,0.8262,0.2143,17959,17193,5354,5354,0.4618,5500,22404,31394,19115,49117,,0.175,17.993314,-66.606215
University of Puerto Rico-Aguadilla,Aguadilla,PR,Outlying Areas,Public,4-year,Bachelor's,0.814,909,1883,0.8261,0.2815,15989,14498,5954,5954,0.4633,5500,18193,27997,15965,46016,,0.196,18.498652,-67.13793
University of Puerto Rico-Arecibo,Arecibo,PR,Outlying Areas,Public,4-year,Bachelor's,0.5918,,2669,0.8896,0.2242,16175,17710,5354,5354,0.52,4500,19546,30512,18436,45917,,0.147,18.469199,-66.74114
University of Puerto Rico-Carolina,Carolina,PR,Outlying Areas,Public,4-year,Bachelor's,0.5454,932,2404,0.7603,0.1844,20302,19396,7986,7986,0.3727,5500,22317,30626,18884,45745,,0.18,18.392069,-65.990165
University of Puerto Rico-Humacao,Humacao,PR,Outlying Areas,Public,4-year,Bachelor's,0.548,,2529,0.8058,0.2227,18717,19547,5364,5364,0.4712,5500,20013,29521,17850,44472,,0.186,18.146589,-65.838602
University of Puerto Rico-Mayaguez,Mayaguez,PR,Outlying Areas,Public,4-year,Bachelor's,0.5652,,9539,0.6489,0.1702,20875,21637,5274,5274,0.491,8250,32706,48992,26813,81247,,0.168,18.211142,-67.139172
University of Puerto Rico-Medical Sciences,San Juan,PR,Outlying Areas,Public,4-year,Bachelor's,,,233,0.5402,0.169,18236,,,,,,38222,45953,25893,74500,,,18.396548,-66.074894
University of Puerto Rico-Rio Piedras,San Juan,PR,Outlying Areas,Public,4-year,Bachelor's,0.5459,,8572,0.6647,0.1558,19938,15118,5354,5354,0.5026,5500,22417,35723,20985,57886,,0.154,18.402826,-66.050009
University of Puerto Rico-Utuado,Utuado,PR,Outlying Areas,Public,4-year,Associate,0.6411,,325,0.8423,0.2724,13787,20908,5354,5354,0.2326,3500,21063,23906,13011,37861,,0.146,18.254577,-66.721667
University of Puget Sound,Tacoma,WA,Far West,Private nonprofit,4-year,Bachelor's,0.7225,1296,1594,0.1728,0.1232,90104,78378,62898,62898,0.6799,25000,46802,69594,43124,102646,0.819,0.359,47.26308,-122.478982
University of Redlands,Redlands,CA,Far West,Private nonprofit,4-year,Bachelor's,0.8271,1241,2049,0.3645,0.3523,57353,76630,60878,60878,0.6727,26000,61686,72690,44770,100345,0.8,0.358,34.064218,-117.163218
University of Rhode Island,Kingston,RI,New England,Public,4-year,Bachelor's,0.7216,1160,13381,0.2176,0.2633,80298,34321,16942,37146,0.7331,22250,57446,69743,44076,101736,0.824,0.319,41.484691,-71.527356
University of Richmond,University of Richmond,VA,Southeast,Private nonprofit,4-year,Bachelor's,0.222,1497,2980,0.1716,0.1226,73024,80961,65230,65230,0.852,21000,67927,76178,50485,111727,0.884,0.276,37.577393,-77.538806
University of Rio Grande,Rio Grande,OH,Great Lakes,Private nonprofit,4-year,Associate,,,1400,0.3363,0.5242,29830,33716,20560,20560,0.3602,17750,34323,41478,22364,62423,0.61,0.428,38.881764,-82.378852
University of Rochester,Rochester,NY,Mid East,Private nonprofit,4-year,Bachelor's,0.4008,1488,6331,0.1725,0.1868,62874,85962,67080,67080,0.8543,21000,68333,79042,50106,116695,0.848,0.266,43.126397,-77.631202
University of Saint Francis-Fort Wayne,Fort Wayne,IN,Great Lakes,Private nonprofit,4-year,Bachelor's,0.9597,981,1567,0.4385,0.3594,52419,47223,36460,36460,0.5497,25976,47944,55362,38198,77897,0.771,0.469,41.087205,-85.177246
University of Saint Joseph,West Hartford,CT,New England,Private nonprofit,4-year,Bachelor's,0.7859,950,838,0.3265,0.4222,44704,59900,47278,47278,0.6376,27000,52053,59908,43084,88688,0.847,0.451,41.781041,-72.72965
